name,neighbourhood,room_type,accommodates,property_type,amenities,price,is_available_next_2_days
Lovely 2BR Guest Suite I Close to Clinton/Division,Hosford-Abernethy,Entire home/apt,6,Entire guesthouse,"\"\"\"Laundromat nearby\"\"& \"\"Coffee maker\"\"& \"\"Bikes\"\"& \"\"Cooking basics\"\"& \"\"Dedicated workspace\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"Free street parking\"\"& \"\"Microwave\"\"& \"\"Extra pillows and blankets\"\"& \"\"Body soap\"\"& \"\"Drying rack for clothing\"\"& \"\"Smart lock\"\"& \"\"Dishes and silverware\"\"& \"\"Stove\"\"& \"\"Clothing storage\"\"& \"\"Refrigerator\"\"& \"\"Shampoo\"\"& \"\"Hangers\"\"& \"\"Shower gel\"\"& \"\"Safe\"\"& \"\"Wine glasses\"\"& \"\"Hot water\"\"& \"\"Dryer\"\"& \"\"Backyard\"\"& \"\"Long term stays allowed\"\"& \"\"Heating\"\"& \"\"Cleaning products\"\"& \"\"Ceiling fan\"\"& \"\"Outdoor furniture\"\"& \"\"Conditioner\"\"& \"\"Private entrance\"\"& \"\"Essentials\"\"& \"\"Hot water kettle\"\"& \"\"Bathtub\"\"& \"\"Oven\"\"& \"\"Toaster\"\"& \"\"Room-darkening shades\"\"& \"\"Freezer\"\"& \"\"Paid parking off premises\"\"& \"\"Bed linens\"\"& \"\"Dining table\"\"& \"\"Dishwasher\"\"& \"\"Patio or balcony\"\"\"",$146.00,True
Landing | Modern Apartment with Amazing Amenities (ID431992),Northwest District,Entire home/apt,2,Entire rental unit,"\"\"\"Refrigerator\"\"& \"\"Shampoo\"\"& \"\"Essentials\"\"& \"\"TV\"\"& \"\"Smoke alarm\"\"& \"\"Washer\"\"& \"\"Bathtub\"\"& \"\"Kitchen\"\"& \"\"Wifi\"\"& \"\"Air conditioning\"\"& \"\"Long term stays allowed\"\"& \"\"Bed linens\"\"& \"\"Heating\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Private entrance\"\"\"",$86.00,True
"Luxury spacious 2BD/2BA w/ gas fireplace, balcony",East Columbia,Entire home/apt,5,Entire rental unit,"\"\"\"Indoor fireplace\"\"& \"\"TV\"\"& \"\"Kitchen\"\"& \"\"Smoke alarm\"\"& \"\"Washer\"\"& \"\"Free parking on premises\"\"& \"\"Wifi\"\"& \"\"Air conditioning\"\"& \"\"Long term stays allowed\"\"& \"\"Carbon monoxide alarm\"\"\"",$100.00,True
Landing | Modern Apartment with Amazing Amenities (ID543256),Hosford-Abernethy,Entire home/apt,2,Entire rental unit,"\"\"\"Refrigerator\"\"& \"\"Shampoo\"\"& \"\"Essentials\"\"& \"\"TV\"\"& \"\"Smoke alarm\"\"& \"\"Washer\"\"& \"\"Bathtub\"\"& \"\"Kitchen\"\"& \"\"Wifi\"\"& \"\"Long term stays allowed\"\"& \"\"Bed linens\"\"& \"\"Heating\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Private entrance\"\"\"",$100.00,FALSE
"Spacious 2bedroom home,one-level,patio,WasherDryer",Hazelwood,Entire home/apt,5,Entire residential home,"\"\"\"Single level home\"\"& \"\"Security cameras on property\"\"& \"\"Coffee maker\"\"& \"\"Cooking basics\"\"& \"\"Hair dryer\"\"& \"\"Clothing storage: closet\"\"& \"\"Iron\"\"& \"\"TV\"\"& \"\"Kitchen\"\"& \"\"Microwave\"\"& \"\"Free driveway parking on premises \\u2013 5 spaces\"\"& \"\"Extra pillows and blankets\"\"& \"\"Body soap\"\"& \"\"Dishes and silverware\"\"& \"\"Stove\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Indoor fireplace\"\"& \"\"Refrigerator\"\"& \"\"Shampoo\"\"& \"\"Hangers\"\"& \"\"Shower gel\"\"& \"\"Wine glasses\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Dryer\"\"& \"\"Backyard\"\"& \"\"Private patio or balcony\"\"& \"\"Heating\"\"& \"\"Cleaning products\"\"& \"\"Ceiling fan\"\"& \"\"Outdoor furniture\"\"& \"\"Conditioner\"\"& \"\"Essentials\"\"& \"\"Smoke alarm\"\"& \"\"Bathtub\"\"& \"\"Washer\"\"& \"\"Oven\"\"& \"\"Air conditioning\"\"& \"\"Toaster\"\"& \"\"Bed linens\"\"& \"\"Dining table\"\"& \"\"Dishwasher\"\"& \"\"Fire extinguisher\"\"\"",$85.00,FALSE
Incredible apartment home | 1BR in Portland,Portland Downtown,Entire home/apt,3,Entire serviced apartment,"\"\"\"Coffee maker\"\"& \"\"Cooking basics\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"TV\"\"& \"\"Kitchen\"\"& \"\"Microwave\"\"& \"\"Extra pillows and blankets\"\"& \"\"Dishes and silverware\"\"& \"\"Stove\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Refrigerator\"\"& \"\"Shampoo\"\"& \"\"Hangers\"\"& \"\"Shower gel\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Dryer\"\"& \"\"Long term stays allowed\"\"& \"\"Lockbox\"\"& \"\"Gym\"\"& \"\"Private entrance\"\"& \"\"Essentials\"\"& \"\"Smoke alarm\"\"& \"\"Washer\"\"& \"\"Oven\"\"& \"\"Bed linens\"\"& \"\"Dishwasher\"\"& \"\"BBQ grill\"\"& \"\"Patio or balcony\"\"\"",$180.00,True
"West Portland Park, The Alfred House",West Portland Park,Entire home/apt,4,Entire residential home,"\"\"\"TV\"\"& \"\"Kitchen\"\"& \"\"Smoke alarm\"\"& \"\"Free parking on premises\"\"& \"\"Wifi\"\"& \"\"BBQ grill\"\"& \"\"Fire pit\"\"\"",$124.00,True
Private Bedroom & Entrance in Quiet House,Madison South,Private room,1,Private room in residential home,"\"\"\"Long term stays allowed\"\"\"",$29.00,FALSE
New Home In Historic District Near Downtown,South Portland,Entire home/apt,5,Entire residential home,"\"\"\"Security cameras on property\"\"& \"\"Ethernet connection\"\"& \"\"Coffee maker\"\"& \"\"Cooking basics\"\"& \"\"Dedicated workspace\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"Free street parking\"\"& \"\"TV\"\"& \"\"Kitchen\"\"& \"\"Microwave\"\"& \"\"Kitchen Aid refrigerator\"\"& \"\"Fast wifi \\u2013 334 Mbps\"\"& \"\"Extra pillows and blankets\"\"& \"\"Stainless steel oven\"\"& \"\"Body soap\"\"& \"\"Free dryer \\u2013 In unit\"\"& \"\"Clothing storage: dresser& closet& and walk-in closet\"\"& \"\"Smart lock\"\"& \"\"Dishes and silverware\"\"& \"\"First aid kit\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Shampoo\"\"& \"\"Hangers\"\"& \"\"Wine glasses\"\"& \"\"Hot water\"\"& \"\"Long term stays allowed\"\"& \"\"Cleaning products\"\"& \"\"Conditioner\"\"& \"\"Private entrance\"\"& \"\"Essentials\"\"& \"\"Hot water kettle\"\"& \"\"Smoke alarm\"\"& \"\"Bathtub\"\"& \"\"Washer\"\"& \"\"Air conditioning\"\"& \"\"Room-darkening shades\"\"& \"\"Freezer\"\"& \"\"Stainless steel stove\"\"& \"\"Toaster\"\"& \"\"Bed linens\"\"& \"\"Central heating\"\"& \"\"Dishwasher\"\"& \"\"Dining table\"\"& \"\"Nespresso machine\"\"& \"\"Paid parking off premises\"\"& \"\"Baking sheet\"\"& \"\"Fire extinguisher\"\"\"",$183.00,True
Newly renovated/furnished 2BR condo near PSU,Portland Downtown,Entire home/apt,4,Entire condominium (condo),"\"\"\"Shampoo\"\"& \"\"Essentials\"\"& \"\"TV\"\"& \"\"Security cameras on property\"\"& \"\"Hangers\"\"& \"\"Washer\"\"& \"\"Smoke alarm\"\"& \"\"Wifi\"\"& \"\"Free parking on premises\"\"& \"\"Air conditioning\"\"& \"\"Dryer\"\"& \"\"Long term stays allowed\"\"& \"\"Elevator\"\"& \"\"Heating\"\"& \"\"Cooking basics\"\"& \"\"Dedicated workspace\"\"& \"\"Hair dryer\"\"& \"\"Fire extinguisher\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Pool\"\"\"",$56.00,True
The Magnifique Suite ~ Leisurely Strolls NW 23rd,Northwest District,Entire home/apt,6,Entire rental unit,"\"\"\"Coffee maker\"\"& \"\"Cooking basics\"\"& \"\"Dedicated workspace\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"TV\"\"& \"\"Kitchen\"\"& \"\"Body soap\"\"& \"\"Dishes and silverware\"\"& \"\"Stove\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Refrigerator\"\"& \"\"Shampoo\"\"& \"\"Wine glasses\"\"& \"\"Shower gel\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Dryer\"\"& \"\"Lockbox\"\"& \"\"Luggage dropoff allowed\"\"& \"\"Heating\"\"& \"\"Cleaning products\"\"& \"\"Private entrance\"\"& \"\"Essentials\"\"& \"\"Smoke alarm\"\"& \"\"Bathtub\"\"& \"\"Washer\"\"& \"\"Oven\"\"& \"\"Air conditioning\"\"& \"\"Toaster\"\"& \"\"Freezer\"\"& \"\"Bed linens\"\"& \"\"Dining table\"\"& \"\"Dishwasher\"\"& \"\"Fire extinguisher\"\"& \"\"Patio or balcony\"\"& \"\"Keurig coffee machine\"\"\"",$153.00,True
Studio Apartment In Historic District Downtown,South Portland,Entire home/apt,2,Entire guest suite,"\"\"\"Security cameras on property\"\"& \"\"Coffee maker\"\"& \"\"Cooking basics\"\"& \"\"Dedicated workspace\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"Free street parking\"\"& \"\"TV\"\"& \"\"Kitchen\"\"& \"\"Microwave\"\"& \"\"Extra pillows and blankets\"\"& \"\"Body soap\"\"& \"\"Smart lock\"\"& \"\"Dishes and silverware\"\"& \"\"Stove\"\"& \"\"Clothing storage\"\"& \"\"Carbon monoxide alarm\"\"& \"\"First aid kit\"\"& \"\"Refrigerator\"\"& \"\"Shampoo\"\"& \"\"Hangers\"\"& \"\"Wine glasses\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Dryer\"\"& \"\"Long term stays allowed\"\"& \"\"Heating\"\"& \"\"Cleaning products\"\"& \"\"Conditioner\"\"& \"\"Private entrance\"\"& \"\"Essentials\"\"& \"\"Hot water kettle\"\"& \"\"Smoke alarm\"\"& \"\"Bathtub\"\"& \"\"Washer\"\"& \"\"Oven\"\"& \"\"Air conditioning\"\"& \"\"Room-darkening shades\"\"& \"\"Freezer\"\"& \"\"Toaster\"\"& \"\"Paid parking off premises\"\"& \"\"Bed linens\"\"& \"\"Dining table\"\"& \"\"Dishwasher\"\"& \"\"Nespresso machine\"\"& \"\"Baking sheet\"\"& \"\"Fire extinguisher\"\"\"",$91.00,True
Downtown retreat - cozy up next to the fire!,Northwest District,Entire home/apt,3,Entire rental unit,"\"\"\"Portable fans\"\"& \"\"Clothing storage: closet and dresser\"\"& \"\"Laundromat nearby\"\"& \"\"Coffee maker\"\"& \"\"Cooking basics\"\"& \"\"Dedicated workspace\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"TV\"\"& \"\"Kitchen\"\"& \"\"Microwave\"\"& \"\"Keypad\"\"& \"\"Extra pillows and blankets\"\"& \"\"Body soap\"\"& \"\"Drying rack for clothing\"\"& \"\"Dishes and silverware\"\"& \"\"Stove\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Indoor fireplace\"\"& \"\"Refrigerator\"\"& \"\"Shampoo\"\"& \"\"Hangers\"\"& \"\"Shower gel\"\"& \"\"Safe\"\"& \"\"Wifi\"\"& \"\"Wine glasses\"\"& \"\"Hot water\"\"& \"\"Dryer\"\"& \"\"Paid street parking off premises\"\"& \"\"Long term stays allowed\"\"& \"\"Private patio or balcony\"\"& \"\"Heating\"\"& \"\"Cleaning products\"\"& \"\"Ceiling fan\"\"& \"\"Outdoor furniture\"\"& \"\"Conditioner\"\"& \"\"Private entrance\"\"& \"\"Essentials\"\"& \"\"Hot water kettle\"\"& \"\"Smoke alarm\"\"& \"\"Washer\"\"& \"\"Oven\"\"& \"\"Toaster\"\"& \"\"Room-darkening shades\"\"& \"\"Freezer\"\"& \"\"Bed linens\"\"& \"\"Dining table\"\"& \"\"Dishwasher\"\"& \"\"Baking sheet\"\"\"",$100.00,True
Live + Work + Stay + Easy | 2BR in Portland,Northwest District,Entire home/apt,5,Entire serviced apartment,"\"\"\"Coffee maker\"\"& \"\"Cooking basics\"\"& \"\"Dedicated workspace\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"Paid parking on premises\"\"& \"\"TV\"\"& \"\"Kitchen\"\"& \"\"Microwave\"\"& \"\"Extra pillows and blankets\"\"& \"\"Dishes and silverware\"\"& \"\"Stove\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Refrigerator\"\"& \"\"Shampoo\"\"& \"\"Hangers\"\"& \"\"Shower gel\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Dryer\"\"& \"\"Long term stays allowed\"\"& \"\"Lockbox\"\"& \"\"Gym\"\"& \"\"Private entrance\"\"& \"\"Essentials\"\"& \"\"Smoke alarm\"\"& \"\"Washer\"\"& \"\"Oven\"\"& \"\"Bed linens\"\"& \"\"Dishwasher\"\"& \"\"BBQ grill\"\"\"",$172.00,True
"The Heart of Yamhill/Laundry, Utilities included",Sunnyside,Entire home/apt,2,Entire residential home,"\"\"\"Shampoo\"\"& \"\"Essentials\"\"& \"\"TV\"\"& \"\"Smoke alarm\"\"& \"\"Hangers\"\"& \"\"Washer\"\"& \"\"Kitchen\"\"& \"\"Wifi\"\"& \"\"Keypad\"\"& \"\"Air conditioning\"\"& \"\"Dryer\"\"& \"\"Long term stays allowed\"\"& \"\"Heating\"\"& \"\"Cooking basics\"\"& \"\"Dedicated workspace\"\"& \"\"Hair dryer\"\"& \"\"Fire extinguisher\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Private entrance\"\"\"",$75.00,True
"Modern studio, walk to Whole Foods | Barsala",Kerns,Entire home/apt,2,Entire rental unit,"\"\"\"Coffee maker\"\"& \"\"Elevator\"\"& \"\"Cooking basics\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"TV\"\"& \"\"Kitchen\"\"& \"\"Microwave\"\"& \"\"Dishes and silverware\"\"& \"\"Stove\"\"& \"\"Refrigerator\"\"& \"\"Shampoo\"\"& \"\"Hangers\"\"& \"\"Wifi\"\"& \"\"Dryer\"\"& \"\"Long term stays allowed\"\"& \"\"Lockbox\"\"& \"\"Heating\"\"& \"\"Essentials\"\"& \"\"Smoke alarm\"\"& \"\"Washer\"\"& \"\"Oven\"\"& \"\"Air conditioning\"\"& \"\"Bed linens\"\"& \"\"Dishwasher\"\"\"",$110.00,True
Relax in comfort | 2BR in Portland,Hayhurst,Entire home/apt,5,Entire serviced apartment,"\"\"\"Coffee maker\"\"& \"\"Cooking basics\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"TV\"\"& \"\"Kitchen\"\"& \"\"Microwave\"\"& \"\"Extra pillows and blankets\"\"& \"\"Dishes and silverware\"\"& \"\"Stove\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Refrigerator\"\"& \"\"Shampoo\"\"& \"\"Hangers\"\"& \"\"Shower gel\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Dryer\"\"& \"\"Long term stays allowed\"\"& \"\"Lockbox\"\"& \"\"Gym\"\"& \"\"Private entrance\"\"& \"\"Essentials\"\"& \"\"Smoke alarm\"\"& \"\"Washer\"\"& \"\"Oven\"\"& \"\"Air conditioning\"\"& \"\"Bed linens\"\"& \"\"Dishwasher\"\"& \"\"Patio or balcony\"\"& \"\"Pool\"\"\"",$178.00,True
Everything you need | Studio in Portland,Northwest District,Entire home/apt,2,Entire serviced apartment,"\"\"\"Coffee maker\"\"& \"\"Cooking basics\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"Paid parking on premises\"\"& \"\"Kitchen\"\"& \"\"Cable TV\"\"& \"\"Microwave\"\"& \"\"Extra pillows and blankets\"\"& \"\"Smart lock\"\"& \"\"Dishes and silverware\"\"& \"\"Stove\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Refrigerator\"\"& \"\"Shampoo\"\"& \"\"Hangers\"\"& \"\"Shower gel\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Dryer\"\"& \"\"Long term stays allowed\"\"& \"\"Private entrance\"\"& \"\"Essentials\"\"& \"\"Smoke alarm\"\"& \"\"Washer\"\"& \"\"TV with standard cable\"\"& \"\"Oven\"\"& \"\"Bed linens\"\"& \"\"Dishwasher\"\"& \"\"BBQ grill\"\"& \"\"Patio or balcony\"\"\"",$154.00,True
Relax in comfort | 1BR in Portland,Hayhurst,Entire home/apt,3,Entire serviced apartment,"\"\"\"Coffee maker\"\"& \"\"Cooking basics\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"TV\"\"& \"\"Kitchen\"\"& \"\"Microwave\"\"& \"\"Extra pillows and blankets\"\"& \"\"Dishes and silverware\"\"& \"\"Stove\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Refrigerator\"\"& \"\"Shampoo\"\"& \"\"Hangers\"\"& \"\"Shower gel\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Dryer\"\"& \"\"Long term stays allowed\"\"& \"\"Lockbox\"\"& \"\"Gym\"\"& \"\"Private entrance\"\"& \"\"Essentials\"\"& \"\"Smoke alarm\"\"& \"\"Washer\"\"& \"\"Oven\"\"& \"\"Air conditioning\"\"& \"\"Bed linens\"\"& \"\"Dishwasher\"\"& \"\"Patio or balcony\"\"& \"\"Pool\"\"\"",$173.00,True
The Câlin & Magnifique Suite ~ NW 23rd Wonder,Northwest District,Entire home/apt,4,Entire rental unit,"\"\"\"Laundromat nearby\"\"& \"\"Cooking basics\"\"& \"\"Dedicated workspace\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"TV\"\"& \"\"Kitchen\"\"& \"\"Body soap\"\"& \"\"Drying rack for clothing\"\"& \"\"Dishes and silverware\"\"& \"\"Stove\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Refrigerator\"\"& \"\"Shampoo\"\"& \"\"Hangers\"\"& \"\"Shower gel\"\"& \"\"Wine glasses\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Dryer\"\"& \"\"Lockbox\"\"& \"\"Luggage dropoff allowed\"\"& \"\"Heating\"\"& \"\"Cleaning products\"\"& \"\"Private entrance\"\"& \"\"Essentials\"\"& \"\"Smoke alarm\"\"& \"\"Bathtub\"\"& \"\"Washer\"\"& \"\"Oven\"\"& \"\"Air conditioning\"\"& \"\"Toaster\"\"& \"\"Freezer\"\"& \"\"Bed linens\"\"\"",$234.00,True
Modern 2 BR Home Walkable to Alberta and more,King,Entire home/apt,4,Entire residential home,"\"\"\"TV\"\"& \"\"Kitchen\"\"& \"\"Smoke alarm\"\"& \"\"Washer\"\"& \"\"Free parking on premises\"\"& \"\"Wifi\"\"& \"\"Air conditioning\"\"& \"\"Long term stays allowed\"\"& \"\"Dedicated workspace\"\"& \"\"Fire extinguisher\"\"& \"\"First aid kit\"\"& \"\"Carbon monoxide alarm\"\"\"",$87.00,True
Modern Stylish Apt in Alphabet District / Slabtown,Northwest District,Entire home/apt,5,Entire rental unit,"\"\"\"Elevator\"\"& \"\"Cooking basics\"\"& \"\"Dedicated workspace\"\"& \"\"Board games\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"Kitchen\"\"& \"\"Microwave\"\"& \"\"Dishes and silverware\"\"& \"\"First aid kit\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Electric stove\"\"& \"\"Refrigerator\"\"& \"\"Hangers\"\"& \"\"Wine glasses\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Dryer\"\"& \"\"Long term stays allowed\"\"& \"\"HDTV with Netflix& Amazon Prime Video\"\"& \"\"Heating\"\"& \"\"Gym\"\"& \"\"Private entrance\"\"& \"\"Essentials\"\"& \"\"Hot water kettle\"\"& \"\"Smoke alarm\"\"& \"\"Washer\"\"& \"\"Bathtub\"\"& \"\"Oven\"\"& \"\"Free parking on premises\"\"& \"\"Air conditioning\"\"& \"\"Pack \\u2019n play/Travel crib\"\"& \"\"Freezer\"\"& \"\"Toaster\"\"& \"\"Dishwasher\"\"& \"\"Rice maker\"\"& \"\"Fire extinguisher\"\"\"",$182.00,True
The Best of South Portland,South Portland,Entire home/apt,4,Entire residential home,"\"\"\"Security cameras on property\"\"& \"\"Ethernet connection\"\"& \"\"Coffee maker\"\"& \"\"Cooking basics\"\"& \"\"Dedicated workspace\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"Free street parking\"\"& \"\"Kitchen\"\"& \"\"Cable TV\"\"& \"\"Microwave\"\"& \"\"Cleaning before checkout\"\"& \"\"Dishes and silverware\"\"& \"\"Stove\"\"& \"\"First aid kit\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Indoor fireplace\"\"& \"\"Refrigerator\"\"& \"\"Hangers\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Dryer\"\"& \"\"Backyard\"\"& \"\"Long term stays allowed\"\"& \"\"Luggage dropoff allowed\"\"& \"\"Heating\"\"& \"\"Private entrance\"\"& \"\"Essentials\"\"& \"\"Free parking on premises\"\"& \"\"Smoke alarm\"\"& \"\"Washer\"\"& \"\"Bathtub\"\"& \"\"TV with standard cable\"\"& \"\"Oven\"\"& \"\"Air conditioning\"\"& \"\"Dishwasher\"\"& \"\"BBQ grill\"\"& \"\"Fire extinguisher\"\"& \"\"Patio or balcony\"\"\"",$285.00,FALSE
Happy Cozy Home,Vernon,Entire home/apt,10,Entire residential home,"\"\"\"Shampoo\"\"& \"\"Essentials\"\"& \"\"TV\"\"& \"\"Smoke alarm\"\"& \"\"Hangers\"\"& \"\"Washer\"\"& \"\"Kitchen\"\"& \"\"Wifi\"\"& \"\"Free parking on premises\"\"& \"\"Dryer\"\"& \"\"Long term stays allowed\"\"& \"\"Heating\"\"& \"\"Fire extinguisher\"\"& \"\"Dedicated workspace\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"First aid kit\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Private entrance\"\"\"",$225.00,True
Charming 2 bedroom apartment,Brooklyn Action Corps,Entire home/apt,4,Entire rental unit,"\"\"\"Dedicated workspace\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"Free street parking\"\"& \"\"TV\"\"& \"\"Kitchen\"\"& \"\"Microwave\"\"& \"\"Dishes and silverware\"\"& \"\"First aid kit\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Indoor fireplace\"\"& \"\"Shampoo\"\"& \"\"Hangers\"\"& \"\"Wifi\"\"& \"\"Dryer\"\"& \"\"Long term stays allowed\"\"& \"\"Heating\"\"& \"\"Breakfast\"\"& \"\"Private entrance\"\"& \"\"Essentials\"\"& \"\"Free parking on premises\"\"& \"\"Smoke alarm\"\"& \"\"Washer\"\"& \"\"Air conditioning\"\"& \"\"Fire extinguisher\"\"\"",$70.00,True
"Harlow Hotel, Signature King City View",Pearl,Private room,2,Room in boutique hotel,"\"\"\"Shampoo\"\"& \"\"TV\"\"& \"\"Essentials\"\"& \"\"Smoke alarm\"\"& \"\"Hangers\"\"& \"\"Wifi\"\"& \"\"Air conditioning\"\"& \"\"Long term stays allowed\"\"& \"\"Lock on bedroom door\"\"& \"\"Elevator\"\"& \"\"Heating\"\"& \"\"Fire extinguisher\"\"& \"\"First aid kit\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Private entrance\"\"\"",$249.00,FALSE
Our house your Home,Lents,Private room,2,Private room in residential home,"\"\"\"Dedicated workspace\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"TV\"\"& \"\"Kitchen\"\"& \"\"First aid kit\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Shampoo\"\"& \"\"Hangers\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Dryer\"\"& \"\"Long term stays allowed\"\"& \"\"Heating\"\"& \"\"Private entrance\"\"& \"\"Essentials\"\"& \"\"Free parking on premises\"\"& \"\"Smoke alarm\"\"& \"\"Washer\"\"& \"\"Air conditioning\"\"& \"\"Lock on bedroom door\"\"& \"\"Fire extinguisher\"\"\"",$45.00,True
Rocky Butte Hideaway,Madison South,Private room,2,Private room in residential home,"\"\"\"Indoor fireplace\"\"& \"\"TV\"\"& \"\"Essentials\"\"& \"\"Smoke alarm\"\"& \"\"Hangers\"\"& \"\"Washer\"\"& \"\"Kitchen\"\"& \"\"Wifi\"\"& \"\"Free parking on premises\"\"& \"\"Air conditioning\"\"& \"\"Dryer\"\"& \"\"Long term stays allowed\"\"& \"\"Lock on bedroom door\"\"& \"\"Heating\"\"& \"\"Breakfast\"\"& \"\"Carbon monoxide alarm\"\"\"",$70.00,True
A sleeper in a basement with private rest room,Hazelwood,Private room,1,Private room in residential home,"\"\"\"Cooking basics\"\"& \"\"Dedicated workspace\"\"& \"\"Iron\"\"& \"\"Free street parking\"\"& \"\"TV\"\"& \"\"Kitchen\"\"& \"\"Microwave\"\"& \"\"Extra pillows and blankets\"\"& \"\"Dishes and silverware\"\"& \"\"Stove\"\"& \"\"First aid kit\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Refrigerator\"\"& \"\"Shampoo\"\"& \"\"Hangers\"\"& \"\"Shower gel\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Dryer\"\"& \"\"Long term stays allowed\"\"& \"\"Luggage dropoff allowed\"\"& \"\"Heating\"\"& \"\"Essentials\"\"& \"\"Smoke alarm\"\"& \"\"Washer\"\"& \"\"Oven\"\"& \"\"Bed linens\"\"& \"\"Dishwasher\"\"& \"\"BBQ grill\"\"& \"\"Fire extinguisher\"\"\"",$28.00,True
Entire home minutes from restaurants + attractions,Piedmont,Entire home/apt,4,Entire residential home,"\"\"\"Shampoo\"\"& \"\"Essentials\"\"& \"\"TV\"\"& \"\"Smoke alarm\"\"& \"\"Washer\"\"& \"\"Hangers\"\"& \"\"Kitchen\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Dryer\"\"& \"\"Air conditioning\"\"& \"\"Long term stays allowed\"\"& \"\"Heating\"\"& \"\"Fire extinguisher\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"First aid kit\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Private entrance\"\"\"",$150.00,True
